"","species","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","DLAB",1.07031813468629,46,0.134868976508514,-0.713078787564242,0.0299881758802158,1.78339692225054,0.124134969665066,27.9163043397622,0.882639622636928
"2","MCAV",0.727818067057285,46,0.0830374706595186,-0.447666197920768,0.0223960550474964,1.17548426497805,0.0770472592362596,27.8854075926401,0.880190219205338
"3","OFRA",0.82077824401559,46,0.133607479604429,-0.715376129866984,0.0309443712056288,1.53615437388257,0.12819147933811,27.9461070275814,0.885989178423955
"4","PAST",0.711106951584484,46,0.104678042170914,-0.54294046052701,0.0243520374149073,1.25539953524129,0.0992784206252817,27.9339091358995,0.88128203572148
