"","temp.Cat","treatment","genotype","fragment.ID","species","chamber.channel","run","individual.ID","Temp.C","NP","R","GP"
"1",19,"deep","121","MA1h","PAST",2,1901,"MA1",19.4012564912277,1.05844121724942,-0.41252404139764,1.47096525864706
"2",19,"deep","221","MC1h","MCAV",9,1901,"MC1",19.3130194818544,0.948819258238081,-0.34713808915442,1.2959573473925
"3",19,"deep","322","MF2h","OFRA",3,1901,"MF2",19.4217820408714,1.0963884641488,-0.539351150020923,1.63573961416972
"4",19,"deep","422","ML2h","DLAB",6,1901,"ML2",19.3333166506946,1.3632092460282,-0.544479137725467,1.90768838375367
"5",19,"shallow","112","SA2h","PAST",5,1901,"SA2",19.339144942154,0.815611118963331,-0.299016420018963,1.11462753898229
"6",19,"shallow","211","SC1h","MCAV",4,1901,"SC1",19.4049343425093,0.798732387306077,-0.266605679430239,1.06533806673632
"7",19,"shallow","313","SF3h","OFRA",7,1901,"SF3",19.4957196914282,1.99335456261297,-0.843830738394988,2.83718530100796
"8",19,"shallow","413","SL3h","DLAB",8,1901,"SL3",19.2178676863203,1.20551521953849,-0.483027135009356,1.68854235454785
"9",19,"deep","123","MA3h","PAST",2,1902,"MA3",19.4895167883619,1.44166482522238,-0.43361355365908,1.87527837888146
"10",19,"deep","223","MC3h","MCAV",6,1902,"MC3",19.4182373381087,1.12575196802918,-0.351268950884349,1.47702091891352
"11",19,"deep","321","MF1h","OFRA",10,1902,"MF1",19.3733165894074,1.14488371254585,-0.541404882883343,1.6862885954292
"12",19,"deep","423","ML3h","DLAB",1,1902,"ML3",19.5409783141692,1.36019370755683,-0.57830475756498,1.93849846512181
"13",19,"shallow","111","SA1h","PAST",9,1902,"SA1",19.4374387602098,1.17017296644176,-0.504518696161779,1.67469166260354
"14",19,"shallow","213","SC3h","MCAV",8,1902,"SC3",19.3273755867443,0.52754643224255,-0.272552235604496,0.800098667847046
"15",19,"shallow","312","SF2h","OFRA",4,1902,"SF2",19.517543590734,1.07626685565647,-0.521763824714017,1.59803068037049
"16",19,"shallow","412","SL2h","DLAB",5,1902,"SL2",19.4272078960328,1.00158201183939,-0.507843392770334,1.50942540460972
"17",19,"deep","122","MA2h","PAST",4,1903,"MA2",19.5259166376569,0.987806412005825,-0.314416363809945,1.30222277581577
"18",19,"deep","222","MC2h","MCAV",1,1903,"MC2",19.3814150543369,0.893149290495285,-0.330866504823851,1.22401579531914
"19",19,"deep","323","MF3h","OFRA",9,1903,"MF3",19.4688538494037,1.29648095880798,-0.449090662478616,1.7455716212866
"20",19,"deep","421","ML1h","DLAB",10,1903,"ML1",19.4554085038848,1.36016648578647,-0.441878805485762,1.80204529127223
"21",19,"shallow","113","SA3h","PAST",7,1903,"SA3",19.6353644233903,0.837244927682224,-0.330332739304246,1.16757766698647
"22",19,"shallow","212","SC2h","MCAV",5,1903,"SC2",19.4251677819472,0.618123685617541,-0.162198543356636,0.780322228974177
"23",19,"shallow","311","SF1h","OFRA",6,1903,"SF1",19.242524370809,0.656166159300687,-0.33875433255391,0.994920491854598
"24",19,"shallow","411","SL1h","DLAB",2,1903,"SL1",19.445406834026,1.05268964214376,-0.521212654317199,1.57390229646096
"25",21,"deep","121","MA1d","PAST",1,2101,"MA1",21.4313216815846,1.16963034024425,-0.346890996286441,1.51652133653069
"26",21,"deep","221","MC1d","MCAV",6,2101,"MC1",21.3346388900926,0.701898919490718,-0.664235588203895,1.36613450769461
"27",21,"deep","322","MF2d","OFRA",2,2101,"MF2",21.3141103601389,0.955616181540174,-0.437956875689372,1.39357305722955
"28",21,"deep","423","ML3d","DLAB",9,2101,"ML3",21.3543173771345,1.37282113523705,-0.631776947715984,2.00459808295304
"29",21,"shallow","111","SA1d","PAST",8,2101,"SA1",21.22843859954,1.61026271210724,-0.512328146600336,2.12259085870758
