"","term","estimate","std.error","statistic","p.value","genotype","species","treatment","rate.type","fragment.ID2"
"143","Eh",3.42511775973648,0.90845866680046,3.77025161948154,0.0196002034321785,"MC1","MCAV","deep","GP","MC"
"144","Th",308.370519336229,1.07542820779968,286.742078271458,8.87463138046886e-10,"MC1","MCAV","deep","GP","MC"
"145","lnc",75.0707494996964,2150719.87296257,3.49049406403113e-05,0.999973821294526,"SL3","DLAB","shallow","R","SL"
"146","E",69.9180602115488,2089977.84721553,3.34539719187456e-05,0.999974909521067,"SL3","DLAB","shallow","R","SL"
"147","Eh",69.7912576833934,2089977.85077975,3.33933001526092e-05,0.999974955024891,"SL3","DLAB","shallow","R","SL"
"148","Th",292.085354872,8390.00312439983,0.0348134977474033,0.973896467288003,"SL3","DLAB","shallow","R","SL"
"149","lnc",1.31336778066595,4.08725393429227,0.32133256259092,0.764048074557429,"SL2","DLAB","shallow","R","SL"
"150","E",0.531205247725439,1.7908401660054,0.296623483105324,0.781518272790943,"SL2","DLAB","shallow","R","SL"
"151","Eh",0.87835309952983,0.475453301393811,1.84740141030655,0.13840565752608,"SL2","DLAB","shallow","R","SL"
"152","Th",299.046497204511,66.885795155599,4.47100160069604,0.0110661463730971,"SL2","DLAB","shallow","R","SL"
"153","lnc",87.1123402884,995885.348633052,8.74722581349048e-05,0.999935698688833,"SL1","DLAB","shallow","R","SL"
"154","E",83.8971549875962,997433.924605599,8.4112995275121e-05,0.999938168100396,"SL1","DLAB","shallow","R","SL"
"155","Eh",83.7920185542345,997433.915169165,8.40075891544388e-05,0.999938245584983,"SL1","DLAB","shallow","R","SL"
"156","Th",292.338936428713,3004.46494445884,0.0973014968831225,0.928623223934262,"SL1","DLAB","shallow","R","SL"
"157","lnc",0.523310042808979,0.0497018623926043,10.5289825696119,0.000460182358002547,"ML3","DLAB","deep","R","ML"
"158","E",0.108580307537767,0.0794089969724048,1.36735523275151,0.243310182665179,"ML3","DLAB","deep","R","ML"
"159","Eh",5.44238728769523,22.629094057439,0.240503984555499,0.821763147757703,"ML3","DLAB","deep","R","ML"
"160","Th",313.405458184388,11.5849432872979,27.0528262773644,1.11008157658657e-05,"ML3","DLAB","deep","R","ML"
"161","lnc",1.16614835647907,0.507653163570614,2.2971359978866,0.0832008044278238,"ML2","DLAB","deep","R","ML"
"162","E",0.0538938818551709,0.0371653878259723,1.45010949724324,0.220634320582906,"ML2","DLAB","deep","R","ML"
"163","Eh",7.56184828006704e-09,0.0268892138563578,2.81222363750106e-07,0.999999789083227,"ML2","DLAB","deep","R","ML"
"164","Th",29433.5262181552,169699161986.703,1.73445324499962e-07,0.999999869916007,"ML2","DLAB","deep","R","ML"
"165","lnc",38.0659898848263,672016.331934218,5.66444416243034e-05,0.999959946331243,"ML1","DLAB","deep","R","ML"
