fragment.ID.full,Temp.C,fragment.ID,species,temp.Cat,treatment,genotype,rate.type,umol.cm2.hr
2601_MF3b,26.4808542,MF3b,OFRA,26,deep,MF3,NP,2.388250383
2601_ML3b,26.63997709,ML3b,DLAB,26,deep,ML3,NP,1.579116055
2601_SA1b,26.51469882,SA1b,PAST,26,shallow,SA1,NP,1.667530637
2601_SC1b,26.41209155,SC1b,MCAV,26,shallow,SC1,NP,1.146602752
2601_SF1b,26.60125821,SF1b,OFRA,26,shallow,SF1,NP,1.523382575
2601_SL3b,26.57217737,SL3b,DLAB,26,shallow,SL3,NP,2.175196365
2603_MA1b,26.51918999,MA1b,PAST,26,deep,MA1,NP,1.738759601
2603_MC3b,26.75235871,MC3b,MCAV,26,deep,MC3,NP,1.666840092
2603_MF2b,26.73390461,MF2b,OFRA,26,deep,MF2,NP,1.518757437
2603_ML2b,26.54160015,ML2b,DLAB,26,deep,ML2,NP,1.565477182
2603_SA2b,26.73886193,SA2b,PAST,26,shallow,SA2,NP,1.108470864
2603_SC3b,26.66562267,SC3b,MCAV,26,shallow,SC3,NP,0.968725769
2603_SF2b,26.64301224,SF2b,OFRA,26,shallow,SF2,NP,1.400868433
2603_SL2b,26.49152045,SL2b,DLAB,26,shallow,SL2,NP,1.868387286
2901_MA2e,29.21553139,MA2e,PAST,29,deep,MA2,NP,0.636638194
2901_MC2e,29.23140276,MC2e,MCAV,29,deep,MC2,NP,1.063230474
2901_MF1e,29.22986688,MF1e,OFRA,29,deep,MF1,NP,1.821744791
2901_ML1e,29.2516397,ML1e,DLAB,29,deep,ML1,NP,1.933386355
2901_SF1e,29.17168588,SF1e,OFRA,29,shallow,SF1,NP,1.107227186
2901_SL3e,29.18734915,SL3e,DLAB,29,shallow,SL3,NP,1.600990649
2902_MA3e,29.18732802,MA3e,PAST,29,deep,MA3,NP,1.505757836
2902_MC3e,29.30078769,MC3e,MCAV,29,deep,MC3,NP,1.522345156
2902_MF3e,29.34466851,MF3e,OFRA,29,deep,MF3,NP,1.164474924
2902_ML2e,29.31765526,ML2e,DLAB,29,deep,ML2,NP,1.943753356
2902_SA2e,29.28028458,SA2e,PAST,29,shallow,SA2,NP,0.948870161
2902_SC1e,29.34181132,SC1e,MCAV,29,shallow,SC1,NP,1.232058188
2902_SC3e,29.22198178,SC3e,MCAV,29,shallow,SC3,NP,1.064292686
2902_SF3e,29.43510785,SF3e,OFRA,29,shallow,SF3,NP,1.546105405
2902_SL2e,29.26573175,SL2e,DLAB,29,shallow,SL2,NP,1.885883443
2903_MA1e,29.56073867,MA1e,PAST,29,deep,MA1,NP,1.500376717
2903_MC1e,29.5404293,MC1e,MCAV,29,deep,MC1,NP,1.038066369
2903_MF2e,29.58540819,MF2e,OFRA,29,deep,MF2,NP,1.41707083
2903_ML3e,29.52838307,ML3e,DLAB,29,deep,ML3,NP,1.763446027
2903_SA1e,29.62348308,SA1e,PAST,29,shallow,SA1,NP,0.704521307
2903_SC2e,29.6355142,SC2e,MCAV,29,shallow,SC2,NP,0.982720116
2903_SF2e,29.55366054,SF2e,OFRA,29,shallow,SF2,NP,1.477917506
2903_SL1e,29.64870274,SL1e,DLAB,29,shallow,SL1,NP,1.55165615
3201_MA2g,32.17869459,MA2g,PAST,32,deep,MA2,NP,1.067982684
3201_MC1g,32.06145752,MC1g,MCAV,32,deep,MC1,NP,0.667990058
3201_MF3g,32.05995868,MF3g,OFRA,32,deep,MF3,NP,1.191182595
3201_ML2g,32.04993069,ML2g,DLAB,32,deep,ML2,NP,1.748181309
3201_SA1g,32.08356481,SA1g,PAST,32,shallow,SA1,NP,0.833692323
3201_SC3g,31.95133447,SC3g,MCAV,32,shallow,SC3,NP,0.625269351
3201_SF2g,32.0725811,SF2g,OFRA,32,shallow,SF2,NP,2.159040621
3201_SL3g,32.09514643,SL3g,DLAB,32,shallow,SL3,NP,1.563651249
3202_MA1g,32.26629901,MA1g,PAST,32,deep,MA1,NP,1.218680834
3202_MC2g,32.36411949,MC2g,MCAV,32,deep,MC2,NP,0.757922121
3202_MF2g,32.40541272,MF2g,OFRA,32,deep,MF2,NP,0.850981211
3202_ML3g,32.51734596,ML3g,DLAB,32,deep,ML3,NP,1.346012017
3202_SA2g,32.38364193,SA2g,PAST,32,shallow,SA2,NP,0.894234047
3202_SC1g,32.17940159,SC1g,MCAV,32,shallow,SC1,NP,0.9971037
3202_SF3g,32.3880204,SF3g,OFRA,32,shallow,SF3,NP,1.423603232
3202_SL2g,32.32156681,SL2g,DLAB,32,shallow,SL2,NP,1.393623156
3203_MA3g,32.48217587,MA3g,PAST,32,deep,MA3,NP,0.11936633
3203_MC3g,32.71518562,MC3g,MCAV,32,deep,MC3,NP,0.560805087
3203_MF1g,32.66241867,MF1g,OFRA,32,deep,MF1,NP,0.606696739
3203_ML1g,32.632899,ML1g,DLAB,32,deep,ML1,NP,0.842079196
3203_SA3g,32.61849441,SA3g,PAST,32,shallow,SA3,NP,-0.033098739
3203_SC2g,32.87459664,SC2g,MCAV,32,shallow,SC2,NP,0.277890536
3203_SF1g,32.73067225,SF1g,OFRA,32,shallow,SF1,NP,0.031561729
3203_SL1g,32.79332452,SL1g,DLAB,32,shallow,SL1,NP,-0.271940155
3401_MA3f,34.26209419,MA3f,PAST,34,deep,MA3,NP,0.140123084
3401_MC1f,34.26697561,MC1f,MCAV,34,deep,MC1,NP,0.119141713
3401_MF3f,34.24929989,MF3f,OFRA,34,deep,MF3,NP,-0.357600125
3401_ML2f,34.34418364,ML2f,DLAB,34,deep,ML2,NP,0.651105685
3401_SA3f,34.21157049,SA3f,PAST,34,shallow,SA3,NP,-0.133737393
3401_SC1f,34.33883618,SC1f,MCAV,34,shallow,SC1,NP,0.440334823
3401_SF1f,34.37495529,SF1f,OFRA,34,shallow,SF1,NP,-0.555646012
3401_SL3f,34.47471355,SL3f,DLAB,34,shallow,SL3,NP,0.072957448
3402_MA2f,34.36207169,MA2f,PAST,34,deep,MA2,NP,-0.017951333
3402_MC3f,34.22164823,MC3f,MCAV,34,deep,MC3,NP,0.475723926
3402_MF1f,34.36107548,MF1f,OFRA,34,deep,MF1,NP,-0.327656266
3402_ML1f,34.20002571,ML1f,DLAB,34,deep,ML1,NP,0.796006415
3402_SA2f,34.25604849,SA2f,PAST,34,shallow,SA2,NP,-0.055723508
3402_SC3f,34.10743567,SC3f,MCAV,34,shallow,SC3,NP,0.39078587
3402_SF3f,34.20079094,SF3f,OFRA,34,shallow,SF3,NP,-0.278277125
3402_SL1f,34.32729686,SL1f,DLAB,34,shallow,SL1,NP,-0.665003827
3403_MA1f,34.40576112,MA1f,PAST,34,deep,MA1,NP,0.4129743
3403_MC2f,34.38652553,MC2f,MCAV,34,deep,MC2,NP,0.562563278
3403_MF2f,34.53194238,MF2f,OFRA,34,deep,MF2,NP,-0.47269118
3403_ML3f,34.0892056,ML3f,DLAB,34,deep,ML3,NP,0.304837909
3403_SA1f,34.07409079,SA1f,PAST,34,shallow,SA1,NP,0.525575492
3403_SC2f,34.23842169,SC2f,MCAV,34,shallow,SC2,NP,0.696362608
3403_SF2f,34.40521442,SF2f,OFRA,34,shallow,SF2,NP,-0.499271709
3403_SL2f,34.15559362,SL2f,DLAB,34,shallow,SL2,NP,0.803200302
3601_MA3a,36.07274286,MA3a,PAST,36,deep,MA3,NP,-0.773272395
3601_MC2a,36.10625602,MC2a,MCAV,36,deep,MC2,NP,-0.518543394
3601_MF1a,36.13279546,MF1a,OFRA,36,deep,MF1,NP,-1.14469966
3601_ML2a,36.1426323,ML2a,DLAB,36,deep,ML2,NP,-0.574659451
3601_SA3a,36.01354158,SA3a,PAST,36,shallow,SA3,NP,-0.514575732
3601_SC3a,36.16172824,SC3a,MCAV,36,shallow,SC3,NP,-0.359930491
3601_SF1a,36.00489498,SF1a,OFRA,36,shallow,SF1,NP,-0.723828601
3601_SL1a,35.77479981,SL1a,DLAB,36,shallow,SL1,NP,-0.588243079
3602_MA1a,36.19863054,MA1a,PAST,36,deep,MA1,NP,-0.610194295
3602_MC3a,36.36285097,MC3a,MCAV,36,deep,MC3,NP,-0.556819584
3602_MF3a,36.14535879,MF3a,OFRA,36,deep,MF3,NP,-0.619755644
