fragment.ID.full,Temp.C,fragment.ID,species,temp.Cat,treatment,genotype,rate.type,umol.cm2.hr
3401_MC1f,34.26697561,MC1f,MCAV,34,deep,MC1,GP,0.803426821
3401_MF3f,34.24929989,MF3f,OFRA,34,deep,MF3,GP,0.510297757
3401_ML2f,34.34418364,ML2f,DLAB,34,deep,ML2,GP,1.193630705
3401_SA3f,34.21157049,SA3f,PAST,34,shallow,SA3,GP,0.30945429
3401_SC1f,34.33883618,SC1f,MCAV,34,shallow,SC1,GP,1.03195622
3401_SF1f,34.37495529,SF1f,OFRA,34,shallow,SF1,GP,0.37633258
3401_SL3f,34.47471355,SL3f,DLAB,34,shallow,SL3,GP,0.814247282
3402_MA2f,34.36207169,MA2f,PAST,34,deep,MA2,GP,0.475549449
3402_MC3f,34.22164823,MC3f,MCAV,34,deep,MC3,GP,1.165674188
3402_MF1f,34.36107548,MF1f,OFRA,34,deep,MF1,GP,0.717888442
3402_ML1f,34.20002571,ML1f,DLAB,34,deep,ML1,GP,1.665715765
3402_SA2f,34.25604849,SA2f,PAST,34,shallow,SA2,GP,0.432756823
3402_SC3f,34.10743567,SC3f,MCAV,34,shallow,SC3,GP,0.777479063
3402_SF3f,34.20079094,SF3f,OFRA,34,shallow,SF3,GP,0.486318187
3402_SL1f,34.32729686,SL1f,DLAB,34,shallow,SL1,GP,0.444385542
3403_MA1f,34.40576112,MA1f,PAST,34,deep,MA1,GP,1.239543321
3403_MC2f,34.38652553,MC2f,MCAV,34,deep,MC2,GP,1.386167053
3403_MF2f,34.53194238,MF2f,OFRA,34,deep,MF2,GP,0.582724774
3403_ML3f,34.0892056,ML3f,DLAB,34,deep,ML3,GP,1.113936438
3403_SA1f,34.07409079,SA1f,PAST,34,shallow,SA1,GP,1.308307187
3403_SC2f,34.23842169,SC2f,MCAV,34,shallow,SC2,GP,1.273017893
3403_SF2f,34.40521442,SF2f,OFRA,34,shallow,SF2,GP,0.339068066
3403_SL2f,34.15559362,SL2f,DLAB,34,shallow,SL2,GP,1.495403793
3601_MA3a,36.07274286,MA3a,PAST,36,deep,MA3,GP,0.062425169
3601_MC2a,36.10625602,MC2a,MCAV,36,deep,MC2,GP,0.133792838
3601_MF1a,36.13279546,MF1a,OFRA,36,deep,MF1,GP,0.06097526
3601_ML2a,36.1426323,ML2a,DLAB,36,deep,ML2,GP,0.19819857
3601_SA3a,36.01354158,SA3a,PAST,36,shallow,SA3,GP,0.073380477
3601_SC3a,36.16172824,SC3a,MCAV,36,shallow,SC3,GP,0.042284985
3601_SF1a,36.00489498,SF1a,OFRA,36,shallow,SF1,GP,0.155847452
3601_SL1a,35.77479981,SL1a,DLAB,36,shallow,SL1,GP,0.351958697
3602_MA1a,36.19863054,MA1a,PAST,36,deep,MA1,GP,0.15966263
3602_MC3a,36.36285097,MC3a,MCAV,36,deep,MC3,GP,0.166707297
3602_MF3a,36.14535879,MF3a,OFRA,36,deep,MF3,GP,0.160905293
3602_ML1a,36.13771908,ML1a,DLAB,36,deep,ML1,GP,0.201693961
3602_SA1a,36.25955211,SA1a,PAST,36,shallow,SA1,GP,-0.058083156
3602_SC1a,36.09633697,SC1a,MCAV,36,shallow,SC1,GP,0.19458099
3602_SF3a,36.37937032,SF3a,OFRA,36,shallow,SF3,GP,0.125513231
3602_SL3a,36.1597309,SL3a,DLAB,36,shallow,SL3,GP,0.443481418
3603_MA2a,36.85164852,MA2a,PAST,36,deep,MA2,GP,-0.004114508
3603_MC1a,36.65033847,MC1a,MCAV,36,deep,MC1,GP,0.047415093
3603_MF2a,36.78728746,MF2a,OFRA,36,deep,MF2,GP,0.16297569
3603_ML3a,36.80486897,ML3a,DLAB,36,deep,ML3,GP,0.176430818
3603_SA2a,36.78332632,SA2a,PAST,36,shallow,SA2,GP,0.144828445
3603_SC2a,36.71211758,SC2a,MCAV,36,shallow,SC2,GP,0.055108752
3603_SF2a,36.65934967,SF2a,OFRA,36,shallow,SF2,GP,0.21337129
3603_SL2a,36.71239797,SL2a,DLAB,36,shallow,SL2,GP,0.186004064
1901_MA1hD,19.4234861,MA1h,PAST,19,deep,MA1,R,-0.412524041
1901_MC1hD,19.2924735,MC1h,MCAV,19,deep,MC1,R,-0.347138089
1901_MF2hD,19.43796389,MF2h,OFRA,19,deep,MF2,R,-0.53935115
1901_ML2hD,19.3338109,ML2h,DLAB,19,deep,ML2,R,-0.544479138
1901_SA2hD,19.35084681,SA2h,PAST,19,shallow,SA2,R,-0.29901642
1901_SC1hD,19.41561569,SC1h,MCAV,19,shallow,SC1,R,-0.266605679
1901_SF3hD,19.49304113,SF3h,OFRA,19,shallow,SF3,R,-0.843830738
1901_SL3hD,19.21579877,SL3h,DLAB,19,shallow,SL3,R,-0.483027135
1902_MA3hD,19.49327482,MA3h,PAST,19,deep,MA3,R,-0.433613554
1902_MC3hD,19.40445154,MC3h,MCAV,19,deep,MC3,R,-0.351268951
1902_MF1hD,19.34797764,MF1h,OFRA,19,deep,MF1,R,-0.541404883
1902_ML3hD,19.54590947,ML3h,DLAB,19,deep,ML3,R,-0.578304758
1902_SA1hD,19.39714472,SA1h,PAST,19,shallow,SA1,R,-0.504518696
1902_SC3hD,19.30810707,SC3h,MCAV,19,shallow,SC3,R,-0.272552236
1902_SF2hD,19.51943971,SF2h,OFRA,19,shallow,SF2,R,-0.521763825
1902_SL2hD,19.43234687,SL2h,DLAB,19,shallow,SL2,R,-0.507843393
1903_MA2hD,19.52287042,MA2h,PAST,19,deep,MA2,R,-0.314416364
1903_MC2hD,19.34257855,MC2h,MCAV,19,deep,MC2,R,-0.330866505
1903_MF3hD,19.44422971,MF3h,OFRA,19,deep,MF3,R,-0.449090662
1903_ML1hD,19.45472572,ML1h,DLAB,19,deep,ML1,R,-0.441878805
1903_SA3hD,19.61678121,SA3h,PAST,19,shallow,SA3,R,-0.330332739
1903_SC2hD,19.42585568,SC2h,MCAV,19,shallow,SC2,R,-0.162198543
1903_SF1hD,19.19091299,SF1h,OFRA,19,shallow,SF1,R,-0.338754333
1903_SL1hD,19.44155969,SL1h,DLAB,19,shallow,SL1,R,-0.521212654
2101_MA1dD,21.41206337,MA1d,PAST,21,deep,MA1,R,-0.346890996
2101_MC1dD,21.31397023,MC1d,MCAV,21,deep,MC1,R,-0.664235588
2101_MF2dD,21.266976,MF2d,OFRA,21,deep,MF2,R,-0.437956876
2101_ML3dD,21.30300672,ML3d,DLAB,21,deep,ML3,R,-0.631776948
2101_SA1dD,21.18383837,SA1d,PAST,21,shallow,SA1,R,-0.512328147
2101_SC2dD,21.2271555,SC2d,MCAV,21,shallow,SC2,R,-0.316559758
2101_SF3dD,21.37036617,SF3d,OFRA,21,shallow,SF3,R,-0.371621244
2101_SL3dD,21.45772564,SL3d,DLAB,21,shallow,SL3,R,-0.789464391
2102_MA3dD,21.32732854,MA3d,PAST,21,deep,MA3,R,-0.457194324
2102_MC3dD,21.59850342,MC3d,MCAV,21,deep,MC3,R,-0.355648851
2102_MF3dD,21.87844338,MF3d,OFRA,21,deep,MF3,R,-0.776184058
2102_ML2dD,21.26836022,ML2d,DLAB,21,deep,ML2,R,-0.579180968
2102_SA2dD,21.24119516,SA2d,PAST,21,shallow,SA2,R,-0.40477624
2102_SC1dD,21.36531843,SC1d,MCAV,21,shallow,SC1,R,-0.457569547
2102_SF1dD,21.30931953,SF1d,OFRA,21,shallow,SF1,R,-0.539080034
2102_SL1dD,21.2696556,SL1d,DLAB,21,shallow,SL1,R,-0.694014226
2103_MA2dD,21.61070082,MA2d,PAST,21,deep,MA2,R,-0.276250858
2103_MC2dD,21.77137982,MC2d,MCAV,21,deep,MC2,R,-0.351639954
2103_MF1dD,21.32268228,MF1d,OFRA,21,deep,MF1,R,-0.578405535
2103_ML1dD,21.8270676,ML1d,DLAB,21,deep,ML1,R,-0.684017862
2103_SA3dD,21.72830125,SA3d,PAST,21,shallow,SA3,R,-0.480665251
2103_SC3dD,21.41432771,SC3d,MCAV,21,shallow,SC3,R,-0.29012179
2103_SF2dD,21.27758548,SF2d,OFRA,21,shallow,SF2,R,-0.482442453
2103_SL2dD,21.50404909,SL2d,DLAB,21,shallow,SL2,R,-0.465332141
2301_MA1cD,23.35205299,MA1c,PAST,23,deep,MA1,R,-0.579213478
2301_MC1cD,23.15863413,MC1c,MCAV,23,deep,MC1,R,-0.308525622
2301_MF1cD,23.27432908,MF1c,OFRA,23,deep,MF1,R,-0.612444676
2301_ML3cD,23.11848415,ML3c,DLAB,23,deep,ML3,R,-0.388299946
2301_SA1cD,23.16574393,SA1c,PAST,23,shallow,SA1,R,-0.729891113
2301_SC2cD,23.34600361,SC2c,MCAV,23,shallow,SC2,R,-0.497716828
2301_SF3cD,23.20068317,SF3c,OFRA,23,shallow,SF3,R,-0.514757907
2301_SL2cD,23.22388257,SL2c,DLAB,23,shallow,SL2,R,-0.841875292
2302_MA2cD,23.04485674,MA2d,PAST,23,deep,MA2,R,-0.447164566
2302_MC3cD,23.32114288,MC3c,MCAV,23,deep,MC3,R,-0.454033109
2302_MF3cD,23.15993515,MF3c,OFRA,23,deep,MF3,R,-0.516561505
2302_ML1cD,23.1751675,ML1c,DLAB,23,deep,ML1,R,-0.487329789
2302_SA2cD,23.40973362,SA2c,PAST,23,shallow,SA2,R,-0.493747909
2302_SC3cD,23.4641731,SC3c,MCAV,23,shallow,SC3,R,-0.367912707
2302_SF1cD,23.35081099,SF1c,OFRA,23,shallow,SF1,R,-0.499787855
2302_SL1cD,23.17216245,SL1c,DLAB,23,shallow,SL1,R,-0.678744234
2303_MA3cD,23.49818581,MA3c,PAST,23,deep,MA3,R,-0.434015663
2303_MC2cD,23.43891057,MC2c,MCAV,23,deep,MC2,R,-0.367428301
2303_MF2cD,23.44509852,MF2c,OFRA,23,deep,MF2,R,-0.593591187
2303_ML2cD,23.51053837,ML2c,DLAB,23,deep,ML2,R,-0.501059632
2303_SA3cD,23.71630811,SA3c,PAST,23,shallow,SA3,R,-0.452400535
2303_SC1cD,23.52140829,SC1c,MCAV,23,shallow,SC1,R,-0.221621093
2303_SF2cD,23.47869158,SF2c,OFRA,23,shallow,SF2,R,-0.714225252
2303_SL3cD,23.62773295,SL3c,DLAB,23,shallow,SL3,R,-0.566456265
2601_MA2bD,26.38071003,MA2b,PAST,26,deep,MA2,R,-0.452151358
2601_MC1bD,26.26288794,MC1b,MCAV,26,deep,MC1,R,-0.42043732
2601_MF3bD,26.19052226,MF3b,OFRA,26,deep,MF3,R,-0.953493551
2601_ML3bD,26.27615762,ML3b,DLAB,26,deep,ML3,R,-0.723917808
2601_SA1bD,26.25362477,SA1b,PAST,26,shallow,SA1,R,-0.742409348
2601_SC1bD,26.08233528,SC1b,MCAV,26,shallow,SC1,R,-0.300146038
2601_SF1bD,26.4218254,SF1b,OFRA,26,shallow,SF1,R,-0.799759031
2601_SL3bD,26.34459758,SL3b,DLAB,26,shallow,SL3,R,-0.978372864
2603_MA1bD,26.30956201,MA1b,PAST,26,deep,MA1,R,-0.610709545
2603_MC3bD,26.57986174,MC3b,MCAV,26,deep,MC3,R,-0.521359329
2603_MF2bD,26.56522905,MF2b,OFRA,26,deep,MF2,R,-0.640305123
2603_ML2bD,26.28826225,ML2b,DLAB,26,deep,ML2,R,-0.537432729
2603_SA2bD,26.50437759,SA2b,PAST,26,shallow,SA2,R,-0.464808833
2603_SC3bD,26.49573969,SC3b,MCAV,26,shallow,SC3,R,-0.305539785
2603_SF2bD,26.40309888,SF2b,OFRA,26,shallow,SF2,R,-0.607956158
2603_SL2bD,26.23248561,SL2b,DLAB,26,shallow,SL2,R,-0.608039514
2901_MA2eD,29.13808695,MA2e,PAST,29,deep,MA2,R,-0.364147752
2901_MC2eD,29.12331008,MC2e,MCAV,29,deep,MC2,R,-0.375528738
2901_MF1eD,29.0884778,MF1e,OFRA,29,deep,MF1,R,-0.657433278
2901_SA3eD,29.3343961,SA3e,PAST,29,shallow,ML1,R,-0.51333127
2901_SF1eD,29.05525251,SF1e,OFRA,29,shallow,SF1,R,-0.669795079
2901_SL3eD,29.05268206,SL3e,DLAB,29,shallow,SL3,R,-0.629122754
2902_MA3eD,29.09686925,MA3e,PAST,29,deep,MA3,R,-0.655340322
2902_MC3eD,29.27215285,MC3e,MCAV,29,deep,MC3,R,-0.511957438
2902_MF3eD,29.31042849,MF3e,OFRA,29,deep,MF3,R,-0.881288295
2902_ML2eD,29.31395372,ML2e,DLAB,29,deep,ML2,R,-0.657182906
2902_SA2eD,29.25570441,SA2e,PAST,29,shallow,SA2,R,-0.385158681
2902_SC1eD,29.29628737,SC1e,MCAV,29,shallow,SC1,R,-0.424806628
2902_SC3eD,29.15800047,SC3e,MCAV,29,shallow,SC3,R,-0.612523708
2902_SF3eD,29.349121,SF3e,OFRA,29,shallow,SF3,R,-0.709543377
2902_SL2eD,29.1491081,SL2e,DLAB,29,shallow,SL2,R,-0.804730225
2903_MA1eD,29.71926291,MA1e,PAST,29,deep,MA1,R,-0.555588209
2903_MC1eD,29.6666095,MC1e,MCAV,29,deep,MC1,R,-0.333563028
2903_MF2eD,29.80618244,MF2e,OFRA,29,deep,MF2,R,-0.765948437
2903_ML3eD,29.63787596,ML3e,DLAB,29,deep,ML3,R,-0.781239913
2903_SA1eD,29.81520736,SA1e,PAST,29,shallow,SA1,R,-0.757063813
2903_SC2eD,29.80990085,SC2e,MCAV,29,shallow,SC2,R,-0.409857827
2903_SF2eD,29.74627788,SF2e,OFRA,29,shallow,SF2,R,-0.622574959
2903_SL1eD,29.83615858,SL1e,DLAB,29,shallow,SL1,R,-0.734324106
3201_MA2gD,31.90663692,MA2g,PAST,32,deep,MA2,R,-0.651674506
3201_MC1gD,31.79719593,MC1g,MCAV,32,deep,MC1,R,-0.440783787
3201_MF3gD,31.66539075,MF3g,OFRA,32,deep,MF3,R,-0.754178847
3201_ML2gD,31.79266374,ML2g,DLAB,32,deep,ML2,R,-0.782387259
3201_SA1gD,31.8022994,SA1g,PAST,32,shallow,SA1,R,-0.58521096
3201_SC3gD,31.61821292,SC3g,MCAV,32,shallow,SC3,R,-0.415265754
3201_SF2gD,31.84157037,SF2g,OFRA,32,shallow,SF2,R,-1.216962157
3201_SL3gD,31.87590612,SL3g,DLAB,32,shallow,SL3,R,-1.009473286
3202_MA1gD,32.14458031,MA1g,PAST,32,deep,MA1,R,-0.699050806
3202_MC2gD,32.11805294,MC2g,MCAV,32,deep,MC2,R,-0.51081288
3202_MF2gD,32.32540092,MF2g,OFRA,32,deep,MF2,R,-0.545232886
3202_ML3gD,32.38772117,ML3g,DLAB,32,deep,ML3,R,-0.828438309
3202_SA2gD,32.43444741,SA2g,PAST,32,shallow,SA2,R,-0.525290878
3202_SC1gD,27.59180443,SC1g,MCAV,32,shallow,SC1,R,-0.417867221
3202_SF3gD,32.23966267,SF3g,OFRA,32,shallow,SF3,R,-0.930910015
3202_SL2gD,32.33622934,SL2g,DLAB,32,shallow,SL2,R,-0.771514141
3203_MA3gD,32.56900149,MA3g,PAST,32,deep,MA3,R,-0.655169676
3203_MC3gD,33.04533535,MC3g,MCAV,32,deep,MC3,R,-0.443471991
3203_MF1gD,32.89199894,MF1g,OFRA,32,deep,MF1,R,-1.050441154
3203_ML1gD,32.79479437,ML1g,DLAB,32,deep,ML1,R,-0.636331313
3203_SA3gD,32.73801521,SA3g,PAST,32,shallow,SA3,R,-0.592273553
3203_SC2gD,33.19486327,SC2g,MCAV,32,shallow,SC2,R,-0.714058698
3203_SF1gD,33.04292242,SF1g,OFRA,32,shallow,SF1,R,-0.870187967
3203_SL1gD,33.17868881,SL1g,DLAB,32,shallow,SL1,R,-0.945697399
3401_MA3fD,34.08590081,MA3f,PAST,34,deep,MA3,R,-0.55433904
3401_MC1fD,34.1523268,MC1f,MCAV,34,deep,MC1,R,-0.684285108
3401_MF3fD,34.08420877,MF3f,OFRA,34,deep,MF3,R,-0.867897882
3401_ML2fD,34.23538693,ML2f,DLAB,34,deep,ML2,R,-0.54252502
3401_SA3fD,34.03744971,SA3f,PAST,34,shallow,SA3,R,-0.443191684
3401_SC1fD,34.25277809,SC1f,MCAV,34,shallow,SC1,R,-0.591621397
3401_SF1fD,34.21642012,SF1f,OFRA,34,shallow,SF1,R,-0.931978592
3401_SL3fD,34.46558641,SL3f,DLAB,34,shallow,SL3,R,-0.741289834
3402_MA2fD,34.23409028,MA2f,PAST,34,deep,MA2,R,-0.493500781
3402_MC3fD,34.12351537,MC3f,MCAV,34,deep,MC3,R,-0.689950262
3402_MF1fD,34.18432857,MF1f,OFRA,34,deep,MF1,R,-1.045544708
3402_ML1fD,34.0524044,ML1f,DLAB,34,deep,ML1,R,-0.86970935
3402_SA2fD,34.12666647,SA2f,PAST,34,shallow,SA2,R,-0.48848033
3402_SC3fD,33.93322071,SC3f,MCAV,34,shallow,SC3,R,-0.386693193
3402_SF3fD,33.99825472,SF3f,OFRA,34,shallow,SF3,R,-0.764595312
3402_SL1fD,34.13303109,SL1f,DLAB,34,shallow,SL1,R,-1.109389369
3403_MA1fD,34.217782,MA1f,PAST,34,deep,MA1,R,-0.826569022
3403_MC2fD,34.34566865,MC2f,MCAV,34,deep,MC2,R,-0.823603775
3403_MF2fD,34.52390093,MF2f,OFRA,34,deep,MF2,R,-1.055415955
3403_ML3fD,33.82543499,ML3f,DLAB,34,deep,ML3,R,-0.809098529
3403_SA1fD,33.86645805,SA1f,PAST,34,shallow,SA1,R,-0.782731694
3403_SC2fD,34.12546148,SC2f,MCAV,34,shallow,SC2,R,-0.576655285
3403_SF2fD,34.31069054,SF2f,OFRA,34,shallow,SF2,R,-0.838339774
3403_SL2fD,33.9608438,SL2f,DLAB,34,shallow,SL2,R,-0.692203491
3601_MA3aD,35.88783519,MA3a,PAST,36,deep,MA3,R,-0.835697565
3601_MC2aD,35.96327333,MC2a,MCAV,36,deep,MC2,R,-0.652336232
3601_MF1aD,35.87266693,MF1a,OFRA,36,deep,MF1,R,-1.205674919
3601_ML2aD,35.87921476,ML2a,DLAB,36,deep,ML2,R,-0.772858021
3601_SA3aD,35.718176,SA3a,PAST,36,shallow,SA3,R,-0.587956209
3601_SC3aD,35.99775842,SC3a,MCAV,36,shallow,SC3,R,-0.402215476
3601_SF1aD,35.79788851,SF1a,OFRA,36,shallow,SF1,R,-0.879676053
3601_SL1aD,35.37752706,SL1a,DLAB,36,shallow,SL1,R,-0.940201777
3602_MA1aD,36.04676621,MA1a,PAST,36,deep,MA1,R,-0.769856924
3602_MC3aD,36.3242273,MC3a,MCAV,36,deep,MC3,R,-0.72352688
3602_MF3aD,36.00941798,MF3a,OFRA,36,deep,MF3,R,-0.780660937
3602_ML1aD,36.04469143,ML1a,DLAB,36,deep,ML1,R,-1.024792741
3602_SA1aD,36.24829061,SA1a,PAST,36,shallow,SA1,R,-0.858570271
3602_SC1aD,35.97726159,SC1a,MCAV,36,shallow,SC1,R,-0.458418395
3602_SF3aD,36.42543869,SF3a,OFRA,36,shallow,SF3,R,-0.557073043
3602_SL3aD,36.10300431,SL3a,DLAB,36,shallow,SL3,R,-1.48049908
3603_MA2aD,37.25858075,MA2a,PAST,36,deep,MA2,R,-0.289991301
3603_MC1aD,36.93182607,MC1a,MCAV,36,deep,MC1,R,-0.357490618
3603_MF2aD,37.16194772,MF2a,OFRA,36,deep,MF2,R,-0.699637856
3603_ML3aD,37.17003587,ML3a,DLAB,36,deep,ML3,R,-0.70694377
3603_SA2aD,37.09902335,SA2a,PAST,36,shallow,SA2,R,-0.926035958
3603_SC2aD,37.09565366,SC2a,MCAV,36,shallow,SC2,R,-0.70422516
3603_SF2aD,36.94404147,SF2a,OFRA,36,shallow,SF2,R,-0.733542455
3603_SL2aD,37.03575264,SL2a,DLAB,36,shallow,SL2,R,-0.645093596
