"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K","fragment.ID2","fitted","residuals"
"38","3201_SL3g",32.09514643,"SL3g","DLAB",32,"shallow","SL3","GP",2.573124536,1.27344043317777,305.24514643,"SL",0.99695384835489,0.276486584822883
"39","3202_SL2g",32.32156681,"SL2g","DLAB",32,"shallow","SL2","GP",2.165137297,1.15219643443409,305.47156681,"SL",0.966579616779578,0.185616817654517
"40","3203_SL1g",32.79332452,"SL1g","DLAB",32,"shallow","SL1","GP",0.673757244,0.515070946019854,305.94332452,"SL",0.898985349698653,-0.383914403678799
"41","3401_SL3f",34.47471355,"SL3f","DLAB",34,"shallow","SL3","GP",0.814247282,0.59567066103526,307.62471355,"SL",0.615066509806423,-0.0193958487711631
"42","3402_SL1f",34.32729686,"SL1f","DLAB",34,"shallow","SL1","GP",0.444385542,0.367684000678462,307.47729686,"SL",0.642383485987207,-0.274699485308744
"43","3403_SL2f",34.15559362,"SL2f","DLAB",34,"shallow","SL2","GP",1.495403793,0.914450556990423,307.30559362,"SL",0.673659739654361,0.240790817336062
"44","3601_SL1a",35.77479981,"SL1a","DLAB",36,"shallow","SL1","GP",0.351958697,0.301554427597912,308.92479981,"SL",0.357529070292451,-0.0559746426945389
"45","3602_SL3a",36.1597309,"SL3a","DLAB",36,"shallow","SL3","GP",0.443481418,0.367057847159576,309.3097309,"SL",0.276299465080352,0.0907583820792242
"46","3603_SL2a",36.71239797,"SL2a","DLAB",36,"shallow","SL2","GP",0.186004064,0.170589727213845,309.86239797,"SL",0.156398030552822,0.014191696661023
"47","1901_ML2hD",19.3338109,"ML2h","DLAB",19,"deep","ML2","R",0.544479138,0.434686726001365,292.4838109,"ML",0.412195110147422,0.0224916158539428
"48","1902_ML3hD",19.54590947,"ML3h","DLAB",19,"deep","ML3","R",0.578304758,0.456351333054191,292.69590947,"ML",0.414542352163689,0.041808980890502
"49","1903_ML1hD",19.45472572,"ML1h","DLAB",19,"deep","ML1","R",0.441878805,0.36594698886741,292.60472572,"ML",0.413533661326434,-0.0475866724590245
"50","2101_ML3dD",21.30300672,"ML3d","DLAB",21,"deep","ML3","R",0.631776948,0.489669573181562,294.45300672,"ML",0.43385766597897,0.0558119072025922
