"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K"
"52","2301_ML3c",23.22482466,"ML3c","DLAB",23,"deep","ML3","GP",1.357514239,0.857607775379982,296.37482466
"53","2301_SA1c",23.2329009,"SA1c","PAST",23,"shallow","SA1","GP",2.044376685,1.1132961790583,296.3829009
"54","2301_SC2c",23.3352135,"SC2c","MCAV",23,"shallow","SC2","GP",1.600850953,0.955838681095258,296.4852135
"55","2301_SF3c",23.23477049,"SF3c","OFRA",23,"shallow","SF3","GP",1.640266583,0.970879890469339,296.38477049
"56","2301_SL2c",23.30875991,"SL2c","DLAB",23,"shallow","SL2","GP",2.723066266,1.31454759381894,296.45875991
"57","2302_MA2c",23.18776135,"MA2c","PAST",23,"deep","MA2","GP",1.147187663,0.764158922156514,296.33776135
"58","2302_MC3c",23.3904744,"MC3c","MCAV",23,"deep","MC3","GP",1.789966798,1.02602969540404,296.5404744
"59","2302_MF3c",23.31124917,"MF3c","OFRA",23,"deep","MF3","GP",1.649820842,0.974492030920236,296.46124917
"60","2302_ML1c",23.29036193,"ML1c","DLAB",23,"deep","ML1","GP",2.477334686,1.24626610551151,296.44036193
"61","2302_SA2c",23.46502458,"SA2c","PAST",23,"shallow","SA2","GP",1.70596662,0.995459194121884,296.61502458
"62","2302_SC3c",23.61186312,"SC3c","MCAV",23,"shallow","SC3","GP",1.401737875,0.876192589892761,296.76186312
"63","2302_SF1c",23.41529366,"SF1c","OFRA",23,"shallow","SF1","GP",1.782157172,1.02322658795142,296.56529366
"64","2302_SL1c",23.29593544,"SL1c","DLAB",23,"shallow","SL1","GP",2.147631075,1.1466501302313,296.44593544
"65","2303_MA3c",23.48663306,"MA3c","PAST",23,"deep","MA3","GP",1.418379532,0.883097701000389,296.63663306
"66","2303_MC2c",23.44965903,"MC2c","MCAV",23,"deep","MC2","GP",1.174520474,0.776808168509046,296.59965903
"67","2303_MF2c",23.46014772,"MF2c","OFRA",23,"deep","MF2","GP",1.911612667,1.06870710878142,296.61014772
"68","2303_ML2c",23.4473848,"ML2c","DLAB",23,"deep","ML2","GP",2.165232715,1.15222658053924,296.5973848
"69","2303_SA3c",23.62506358,"SA3c","PAST",23,"shallow","SA3","GP",1.682080044,0.986592629306009,296.77506358
"70","2303_SC1c",23.48283761,"SC1c","MCAV",23,"shallow","SC1","GP",1.142060089,0.761768024386521,296.63283761
"71","2303_SF2c",23.43753961,"SF2c","OFRA",23,"shallow","SF2","GP",2.466560626,1.24316292835753,296.58753961
"72","2303_SL3c",23.61940866,"SL3c","DLAB",23,"shallow","SL3","GP",1.742230275,1.00877155828499,296.76940866
"73","2601_MA2b",26.58172473,"MA2b","PAST",26,"deep","MA2","GP",1.513365251,0.921622592607989,299.73172473
"74","2601_MC1b",26.52640484,"MC1b","MCAV",26,"deep","MC1","GP",1.771033174,1.0192202376605,299.67640484
"75","2601_MF3b",26.4808542,"MF3b","OFRA",26,"deep","MF3","GP",3.341743933,1.4682760952813,299.6308542
"76","2601_ML3b",26.63997709,"ML3b","DLAB",26,"deep","ML3","GP",2.303033863,1.19484139855107,299.78997709
"77","2601_SA1b",26.51469882,"SA1b","PAST",26,"shallow","SA1","GP",2.409939985,1.2266946914338,299.66469882
"78","2601_SC1b",26.41209155,"SC1b","MCAV",26,"shallow","SC1","GP",1.44674879,0.894760118790105,299.56209155
"79","2601_SF1b",26.60125821,"SF1b","OFRA",26,"shallow","SF1","GP",2.323141607,1.20091060266853,299.75125821
"80","2601_SL3b",26.57217737,"SL3b","DLAB",26,"shallow","SL3","GP",3.153569229,1.4239680197878,299.72217737
"81","2603_MA1b",26.51918999,"MA1b","PAST",26,"deep","MA1","GP",2.349469146,1.20880186939965,299.66918999
