"","fragment.ID2","species","treatment","rate.type","meanTopt","seTopt","meanE","seE","meanTh_C","seTh_C","meanEh","seEh","meanlnc","selnc","meanPmax","sePmax"
"1","MA","PAST","deep","GP",30.2438487787292,0.956412220140713,0.173666836805726,0.0281160084280528,34.7164081572469,0.428105223738536,4.04355226842249,0.578844760106546,1.02853147781773,0.0902148746641922,0.996174910878165,0.0954582151013124
"2","MC","MCAV","deep","GP",29.8700043293083,0.11601527823475,0.231743056225594,0.108585179631145,34.1799895392814,1.0405298234438,3.16179704446298,0.26332074823078,1.08032750019599,0.135462233813432,0.981623059169252,0.0867344645390785
"3","MF","OFRA","deep","GP",29.6171982316851,0.281910679495544,0.390617734246537,0.0570489357842501,32.3199752814743,0.601848259756248,3.21425126341557,0.39807865280209,1.35090788830039,0.060820544496052,1.18131526405629,0.0429605976776393
"4","ML","DLAB","deep","GP",31.0533815971879,0.1443054618671,0.198167334725423,0.0215041040980905,34.7388503844716,0.0194514825775975,4.80606717178939,0.747592373989885,1.21722761749293,0.01351187856724,1.20879446416943,0.03318794709103
"5","SA","PAST","shallow","GP",26.9253807840303,2.41461874875715,0.864096567889808,0.463812977453571,27.4527951794916,4.45478320741785,2.26840021388433,0.0202771537724851,1.78619391182332,0.58805448221601,0.960715444834942,0.0376333045978275
"6","SC","MCAV","shallow","GP",31.2705017059553,0.422749913512542,0.157166125871711,0.076673334654598,35.2854685795314,0.730065923120476,5.26321501319049,0.982142910430961,0.914274864935359,0.0372064227454067,0.893694619336142,0.0202203997974998
"7","SF","OFRA","shallow","GP",28.9162926247693,0.938759665205192,0.525242968943848,0.292333989490393,31.4423515523127,2.40383861492097,3.37476477577487,0.453559735639422,1.46548818096664,0.219769112653405,1.17151010974772,0.0206902344714073
"8","SL","DLAB","shallow","GP",29.3464545476498,1.13172797549469,0.522022147244336,0.193869727871025,31.4184277273549,2.17542527471115,3.18817188651021,0.39315047471475,1.54443039430165,0.183988213404354,1.26426800659923,0.0206128592676578
