"","term","estimate","std.error","statistic","p.value","genotype","species","treatment","rate.type","fragment.ID2"
"54","E",34.8856101335833,131641.235581992,0.000265005186098052,0.999801246113334,"SA2","PAST","shallow","R","SA"
"55","Eh",34.7851703113679,131641.193474232,0.000264242289159866,0.999801818286013,"SA2","PAST","shallow","R","SA"
"56","Th",291.748965875867,2837.52634300084,0.102818064260622,0.923055817266609,"SA2","PAST","shallow","R","SA"
"57","lnc",6.21459361005974,14.4511282520328,0.430042104787599,0.696184761895706,"SA1","PAST","shallow","R","SA"
"58","E",3.48512065617743,12.7823017923958,0.27265203973284,0.802810960249804,"SA1","PAST","shallow","R","SA"
"59","Eh",3.44981198851458,12.6812407496309,0.272040572103718,0.803239024534583,"SA1","PAST","shallow","R","SA"
"60","Th",287.888521651741,13.5550039732649,21.2385420335955,0.000228371232176002,"SA1","PAST","shallow","R","SA"
"61","lnc",1.13304935453663,2.12625926598574,0.532883911507068,0.631061521034458,"MA3","PAST","deep","R","MA"
"62","E",0.0948459522405479,0.0764775129093623,1.24018091897098,0.303067041255511,"MA3","PAST","deep","R","MA"
"63","Eh",2.07265783371908e-08,0.108355521491648,1.91283084164645e-07,0.999999859386811,"MA3","PAST","deep","R","MA"
"64","Th",312.209477432859,1775481037.48228,1.75845008108668e-07,0.999999870735421,"MA3","PAST","deep","R","MA"
"65","lnc",0.368420115235565,0.0409332767375388,9.00050385894703,0.000843651001572834,"MA2","PAST","deep","R","MA"
"66","E",0.106480192115489,0.067413973029915,1.57949735536634,0.189369754984452,"MA2","PAST","deep","R","MA"
"67","Eh",5.21267506421002,7.5612183217166,0.689396184902991,0.528482167459848,"MA2","PAST","deep","R","MA"
"68","Th",312.417416970734,2.43347873286194,128.383048001127,2.20772451334946e-08,"MA2","PAST","deep","R","MA"
"69","lnc",5.29291463994128,45.0870925668906,0.117393123810074,0.912207029131607,"MA1","PAST","deep","R","MA"
"70","E",1.62679963113763,28.3384159568523,0.0574061596673073,0.956974914094296,"MA1","PAST","deep","R","MA"
"71","Eh",1.52126520824187,28.0831956511402,0.0541699465808518,0.959397357725795,"MA1","PAST","deep","R","MA"
"72","Th",277.386087311865,192.574277228807,1.44041089653053,0.223178789224176,"MA1","PAST","deep","R","MA"
"73","lnc",2.3742483629206,0.225829486462103,10.5134559712114,0.00892613946046531,"SA3","PAST","shallow","GP","SA"
"74","E",1.32790951995514,0.184956123842624,7.17959206954961,0.0188530611422436,"SA3","PAST","shallow","GP","SA"
"75","Eh",2.28867735219806,0.120980685274371,18.9177086161117,0.00278257770367539,"SA3","PAST","shallow","GP","SA"
"76","Th",296.148012085655,0.841896405436389,351.763008100919,8.08154512646234e-06,"SA3","PAST","shallow","GP","SA"
"77","lnc",1.19813942741364,0.37313643446812,3.210995541407,0.0325580631471751,"SA2","PAST","shallow","GP","SA"
"78","E",0.400283587533738,0.377586579096118,1.06011073934872,0.348862966391531,"SA2","PAST","shallow","GP","SA"
"79","Eh",2.2481230574436,0.623891039967995,3.60339051761173,0.022689569832399,"SA2","PAST","shallow","GP","SA"
"80","Th",305.057578412909,4.62598657925347,65.9443284554748,3.16793274081963e-07,"SA2","PAST","shallow","GP","SA"
"81","lnc",1.37097663150678,0.327702597087061,4.18360014138841,0.0248884777330141,"SA1","PAST","shallow","GP","SA"
