"","fragment.ID2","species","treatment","rate.type","meanTopt","seTopt","meanE","seE","meanTh_C","seTh_C","meanEh","seEh","meanlnc","selnc","meanPmax","sePmax"
"1","MA","PAST","deep","GP",30.2438487787292,0.956412220140713,0.173666836805726,0.0281160084280528,34.7164081572469,0.428105223738536,4.04355226842249,0.578844760106546,1.02853147781773,0.0902148746641922,0.996174910878165,0.0954582151013124
"2","MA","PAST","deep","R",21.8188801337278,12.8511587284358,0.866639765690283,0.760159572158787,21.7517512849495,17.515665663935,3.366970012748,1.84570509379558,2.830667115017,2.46224699992449,0.164097625646364,0.252829729998117
"3","MC","MCAV","deep","GP",29.8700043293083,0.11601527823475,0.231743056225594,0.108585179631145,34.1799895392814,1.0405298234438,3.16179704446298,0.26332074823078,1.08032750019599,0.135462233813432,0.981623059169252,0.0867344645390785
"4","MC","MCAV","deep","R",21.7807302155087,7.44316508770606,16.3120604761445,14.3581341250492,21.273261029554,8.09558079692289,45.7919007962037,24.5080858134195,19.6191428204303,14.7344827910679,0.153889273390424,0.189370029424096
"5","MF","OFRA","deep","GP",29.6171982316851,0.281910679495544,0.390617734246537,0.0570489357842501,32.3199752814743,0.601848259756248,3.21425126341557,0.39807865280209,1.35090788830039,0.060820544496052,1.18131526405629,0.0429605976776393
"6","MF","OFRA","deep","R",29.8888627160969,6.81207374612175,0.638263010314557,0.522400274569313,27.8172484472259,9.6540821230791,28.5305656053722,27.2109709772037,1.42645053788726,0.924471977437114,0.586125900628174,0.050421971183039
"7","ML","DLAB","deep","GP",31.0533815971879,0.1443054618671,0.198167334725423,0.0215041040980905,34.7388503844716,0.0194514825775975,4.80606717178939,0.747592373989885,1.21722761749293,0.01351187856724,1.20879446416943,0.03318794709103
"8","ML","DLAB","deep","R",27.418052564612,8.367952021178,19.438876825675,19.3302965186727,29.557400586014,10.6980576671368,22.0526106895267,16.6102235021499,21.3487083379176,20.8253982950254,0.340211421020962,0.249637653212073
"9","SA","PAST","shallow","GP",26.9253807840303,2.41461874875715,0.864096567889808,0.463812977453571,27.4527951794916,4.45478320741785,2.26840021388433,0.0202771537724851,1.78619391182332,0.58805448221601,0.960715444834942,0.0376333045978275
"10","SA","PAST","shallow","R",18.3057178275546,0.73537691842145,22.2443200152629,9.50774914871045,17.4007663261159,1.4000990538101,22.1895523955819,9.49542385759671,25.1951373045854,9.71497476195622,0.0709438566485745,0.0629497350137331
"11","SC","MCAV","shallow","GP",31.2705017059553,0.422749913512542,0.157166125871711,0.076673334654598,35.2854685795314,0.730065923120476,5.26321501319049,0.982142910430961,0.914274864935359,0.0372064227454067,0.893694619336142,0.0202203997974998
"12","SC","MCAV","shallow","R",24.1686910785115,5.74903881789398,8.6553253458506,5.62405691593218,25.9727619170913,8.32080797084464,9.07721252348271,5.25649391246367,10.861012008078,6.79284854422274,0.0826585801951863,0.124528149841503
"13","SF","OFRA","shallow","GP",28.9162926247693,0.938759665205192,0.525242968943848,0.292333989490393,31.4423515523127,2.40383861492097,3.37476477577487,0.453559735639422,1.46548818096664,0.219769112653405,1.17151010974772,0.0206902344714073
"14","SF","OFRA","shallow","R",28.9989887600293,5.97991213721077,1.20951079474248,1.08899542134126,30.6628148373667,7.94915931895413,5.86993136628209,1.5860413792932,2.32855097053027,1.79238832496828,0.435392516432716,0.174445201596111
"15","SL","DLAB","shallow","GP",29.3464545476498,1.13172797549469,0.522022147244336,0.193869727871025,31.4184277273549,2.17542527471115,3.18817188651021,0.39315047471475,1.54443039430165,0.183988213404354,1.26426800659923,0.0206128592676578
"16","SL","DLAB","shallow","R",22.8159225704814,3.75485533257891,33.3497512030513,17.1330334518557,21.2380961004403,2.33124328884817,33.3881541363742,16.9870556414354,36.1350580651701,18.0133886753584,0.289548328330781,0.138269960269209
