"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","rate.type","individual.ID"
"3","1901_MA1h",240.286430767628,0.011000795175058,19.3790268814483,"MA1h","PAST","121",2,1901,19,"light","deep",21.9516272111189,580,0.58,0.00638046120153365,"0",-7.35685278947398e-05,0.00645402972942839,1.05844121724942,"NP","MA1"
"4","1901_MA1hD",242.697496421479,-0.00415544890592532,19.4234861010071,"MA1h","PAST","121",2,1901,19,"dark","deep",21.9516272111189,580,0.58,-0.00241016036543669,"0",0.000105276849114755,-0.00251543721455144,-0.41252404139764,"R","MA1"
"5","1901_MC1h",216.297337585238,0.00657571592903028,19.3335654629208,"MC1h","MCAV","221",9,1901,19,"light","deep",14.9993449333111,590,0.59,0.00387967239812786,"0",-7.35685278947398e-05,0.0039532409260226,0.948819258238081,"NP","MC1"
"6","1901_MC1hD",218.433997369372,-0.00227299777867445,19.2924735007879,"MC1h","MCAV","221",9,1901,19,"dark","deep",14.9993449333111,590,0.59,-0.00134106868941792,"0",0.000105276849114755,-0.00144634553853268,-0.34713808915442,"R","MC1"
"7","1901_MF2h",212.894701676491,0.00958281303341672,19.4056001949407,"MF2h","OFRA","322",3,1901,19,"light","deep",18.680193877831,586,0.586,0.0056155284375822,"0",-7.35685278947398e-05,0.00568909696547694,1.0963884641488,"NP","MF2"
"8","1901_MF2hD",215.873153541224,-0.00459622079721694,19.4379638868021,"MF2h","OFRA","322",3,1901,19,"dark","deep",18.680193877831,586,0.586,-0.00269338538716913,"0",0.000105276849114755,-0.00279866223628388,-0.539351150020923,"R","MF2"
"9","1901_ML2h",200.184863557871,0.0146892958337912,19.3328224044049,"ML2h","DLAB","422",6,1901,19,"light","deep",22.9263301158247,586,0.586,0.00860792735860166,"0",-7.35685278947398e-05,0.0086814958864964,1.3632092460282,"NP","ML2"
"10","1901_ML2hD",203.927347969135,-0.00573753877316105,19.3338108969844,"ML2h","DLAB","422",6,1901,19,"dark","deep",22.9263301158247,586,0.586,-0.00336219772107237,"0",0.000105276849114755,-0.00346747457018713,-0.544479137725467,"R","ML2"
"11","1901_SA2h",185.106340149294,0.00651259422173386,19.3274430746197,"SA2h","PAST","112",5,1901,19,"light","shallow",17.3134498025607,591,0.591,0.00384894318504471,"0",-7.35685278947398e-05,0.00392251171293945,0.815611118963331,"NP","SA2"
"12","1901_SA2hD",186.438786840577,-0.00225512743059156,19.3508468096883,"SA2h","PAST","112",5,1901,19,"dark","shallow",17.3134498025607,591,0.591,-0.00133278031147961,"0",0.000105276849114755,-0.00143805716059437,-0.299016420018963,"R","SA2"
"13","1901_SC1h",217.63802414717,0.00745945150690298,19.3942529945339,"SC1h","MCAV","211",4,1901,19,"light","shallow",20.4368248538625,598,0.598,0.00446075200112798,"0",-7.35685278947398e-05,0.00453432052902272,0.798732387306077,"NP","SC1"
"14","1901_SC1hD",219.197115193779,-0.00235487593773118,19.4156156904848,"SC1h","MCAV","211",4,1901,19,"dark","shallow",20.4368248538625,598,0.598,-0.00140821581076325,"0",0.000105276849114755,-0.001513492659878,-0.266605679430239,"R","SC1"
"15","1901_SF3h",219.449900832757,0.00794844906541277,19.498398248836,"SF3h","OFRA","313",7,1901,19,"light","shallow",8.77451801251858,602,0.602,0.00478496633737849,"0",-7.35685278947398e-05,0.00485853486527322,1.99335456261297,"NP","SF3"
"16","1901_SF3hD",221.651284708753,-0.00324160730747073,19.4930411340203,"SF3h","OFRA","313",7,1901,19,"dark","shallow",8.77451801251858,602,0.602,-0.00195144759909738,"0",0.000105276849114755,-0.00205672444821213,-0.843830738394988,"R","SF3"
"17","1901_SL3h",212.99547700735,0.00789425781940084,19.2199366021682,"SL3h","DLAB","413",8,1901,19,"light","shallow",14.2464787430494,595,0.595,0.0046970834025435,"0",-7.35685278947398e-05,0.00477065193043824,1.20551521953849,"NP","SL3"
"18","1901_SL3hD",215.430100039187,-0.00303568587974497,19.2157987704724,"SL3h","DLAB","413",8,1901,19,"dark","shallow",14.2464787430494,595,0.595,-0.00180623309844826,"0",0.000105276849114755,-0.00191150994756301,-0.483027135009356,"R","SL3"
"21","1902_MA3h",240.894460543522,0.01355953673345,19.4857587523693,"MA3h","PAST","123",2,1902,19,"light","deep",19.6164296733004,576,0.576,0.00781029315846719,"0",-4.53503572121908e-05,0.00785564351567938,1.44166482522238,"NP","MA3"
"22","1902_MA3hD",241.832842757839,-0.00369142252897928,19.4932748243545,"MA3h","PAST","123",2,1902,19,"dark","deep",19.6164296733004,576,0.576,-0.00212625937669207,"0",0.000236504451292164,-0.00236276382798423,-0.43361355365908,"R","MA3"
