"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species","group","term","estimate","std.error","statistic","p.value","fragment.ID2"
"1",292.4828224,1.00873138238709,1.12630567449086,1.0731056940934,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"2",292.4828224,1.00873138238709,1.12630567449086,1.0731056940934,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"3",292.4828224,1.00873138238709,1.12630567449086,1.0731056940934,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"4",292.4828224,1.00873138238709,1.12630567449086,1.0731056940934,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"5",292.552991261727,1.01000464832855,1.12761057755454,1.07466243580621,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"6",292.552991261727,1.01000464832855,1.12761057755454,1.07466243580621,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"7",292.552991261727,1.01000464832855,1.12761057755454,1.07466243580621,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"8",292.552991261727,1.01000464832855,1.12761057755454,1.07466243580621,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"9",292.623160123454,1.01127722323781,1.1289143703756,1.0762181413096,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"10",292.623160123454,1.01127722323781,1.1289143703756,1.0762181413096,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"11",292.623160123454,1.01127722323781,1.1289143703756,1.0762181413096,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"12",292.623160123454,1.01127722323781,1.1289143703756,1.0762181413096,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"13",292.693328985181,1.01254910398102,1.13021703492095,1.07777279913188,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"14",292.693328985181,1.01254910398102,1.13021703492095,1.07777279913188,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"15",292.693328985181,1.01254910398102,1.13021703492095,1.07777279913188,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"16",292.693328985181,1.01254910398102,1.13021703492095,1.07777279913188,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"17",292.763497846908,1.01382028726302,1.13151855245154,1.07932639730351,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"18",292.763497846908,1.01382028726302,1.13151855245154,1.07932639730351,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
